Model,Dimension,Strategy,AUC-ROC,AUC-PR,Best_F1,Precision@Best_F1,Recall@Best_F1,Best_Threshold,n_positives,n_negatives,neg_sampling
ComplEx,100,Degree-Matched,0.7975785199134016,0.4843351769108124,0.5074294205052006,0.5485943775100401,0.4720110573600553,-0.6576777696609497,2894,30309,degree_matched
ComplEx,100,Uniform-Random,0.8202612616268541,0.544537817720783,0.5359552727973781,0.6061927605756651,0.4803040774015203,-0.2154940366744995,2894,28525,random
ComplEx,200,Degree-Matched,0.8012227170031194,0.4981623833293684,0.5217055759212811,0.5906509392747925,0.4671734623358673,-1.0157427787780762,2894,30309,degree_matched
ComplEx,200,Uniform-Random,0.8236186567512221,0.5752719295018949,0.5627811860940696,0.6893787575150301,0.4754664823773324,-0.4373289346694946,2894,28525,random
ComplEx,300,Degree-Matched,0.8083359343931429,0.5299779160893955,0.5377821393523062,0.6224443434802363,0.4733932273669661,-1.2362972497940063,2894,30309,degree_matched
ComplEx,300,Uniform-Random,0.8324023955998296,0.6013948912561414,0.586255828096493,0.7091711623344776,0.4996544574982723,-0.8100783824920654,2894,28525,random
TransE,100,Degree-Matched,0.6337180507713651,0.190978162639213,0.2398852223816356,0.2051030421982335,0.2888735314443676,-11.499513626098633,2894,30309,degree_matched
TransE,100,Uniform-Random,0.685702226553533,0.287293717188505,0.3089430894308943,0.2971592722630067,0.3217000691085003,-11.44503402709961,2894,28525,random
TransE,200,Degree-Matched,0.648867824731686,0.213824655838269,0.2651103293891909,0.2467261904761905,0.2864547339322736,-15.809492111206056,2894,30309,degree_matched
TransE,200,Uniform-Random,0.7154693169766455,0.3571656485607926,0.3673956262425447,0.4325842696629213,0.3192812715964063,-15.203558921813965,2894,28525,random
TransE,300,Degree-Matched,0.6313670529642357,0.1863191926015771,0.2341772151898734,0.2159953298307063,0.2557014512785072,-19.408721923828125,2894,30309,degree_matched
TransE,300,Uniform-Random,0.7312748125863479,0.3824683044082932,0.3837817638266069,0.4178193653376729,0.3548721492743607,-18.68379592895508,2894,28525,random
TriModel,100,Degree-Matched,0.6603187696557296,0.2100475788426433,0.2864516129032258,0.2686025408348457,0.3068417415342087,-0.3459266126155853,2894,30309,degree_matched
TriModel,100,Uniform-Random,0.7351078873937253,0.3736823603229895,0.400629054452526,0.4646602827177382,0.352107809260539,2.6270012855529785,2894,28525,random
TriModel,200,Degree-Matched,0.752796296054349,0.3504413817485192,0.3980003225286244,0.3731478681584517,0.4263994471319972,1.3891611099243164,2894,30309,degree_matched
TriModel,200,Uniform-Random,0.8257346730247294,0.4532931269051678,0.4680242943908538,0.4844674556213018,0.4526606772633034,2.668196201324463,2894,28525,random
TriModel,300,Degree-Matched,0.761336978260065,0.3934952856185202,0.4332220367278798,0.5468914646996839,0.3586731167933656,-0.3859084248542785,2894,30309,degree_matched
TriModel,300,Uniform-Random,0.8355826524944776,0.531481973351972,0.526840490797546,0.5917312661498708,0.474775397373877,1.2200827598571775,2894,28525,random
